image_name,mask_name,threshold,image_size,Vein Density (VD),Vein Thickness (VT),Areole Size (AS),Number of Areoles (NA),Branching Angle (BA),Vein-to-Vein Distance (VVD),Main Veins (MV)
rs24-1p_region2.png,rs24-1p_region2_mask.png,0.5,224x224,0.4051083090850307,4.74701872244632,0.0,0,116.92307692307692,1.0,12
rs24-1p_region3.png,rs24-1p_region3_mask.png,0.5,224x224,0.4123127511874315,4.664423566134932,0.0,0,114.16666666666667,1.03,15
rs24-1p_region4.png,rs24-1p_region4_mask.png,0.5,224x224,0.4287997159090909,4.315666150510475,12.099076100108068,2,116.84210526315789,1.11,10
rs27-2p_region1.png,rs27-2p_region1_mask.png,0.5,224x224,0.5235204855842185,4.523863157639937,11.74714329420398,5,111.16129032258064,1.0,7
rs27-2p_region2.png,rs27-2p_region2_mask.png,0.5,224x224,0.45488139229943975,3.8155137091678486,14.485884672596532,8,111.25714285714285,1.01,14
rs27-2p_region3.png,rs27-2p_region3_mask.png,0.5,224x224,0.5023408239700374,4.309825302279769,14.353117446102013,4,111.95121951219512,1.02,4
rs28-1p_region1.png,rs28-1p_region1_mask.png,0.5,224x224,0.48180314309346567,4.211160722160215,12.746058634248184,8,113.70731707317073,1.0,5
rs28-1p_region2.png,rs28-1p_region2_mask.png,0.5,224x224,0.48210227272727274,4.370220426136235,12.770524112838208,3,114.78260869565217,1.0,6
rs28-1p_region3.png,rs28-1p_region3_mask.png,0.5,224x224,0.4758385446276293,4.2282214170268135,10.750086721978215,5,112.9090909090909,1.0,4
rs28-1p_region5.png,rs28-1p_region5_mask.png,0.5,224x224,0.5724112961622013,4.791046961791549,9.652434450887103,4,112.94117647058823,1.01,3
rs29-0p_region1.png,rs29-0p_region1_mask.png,0.5,224x224,0.7360834990059643,5.479788422519409,6.322873564870309,6,110.48275862068965,1.015,1
rs29-0p_region2.png,rs29-0p_region2_mask.png,0.5,224x224,0.7615062761506276,5.003865387810962,5.532426214164913,6,111.2,1.0,1
rs29-0p_region3.png,rs29-0p_region3_mask.png,0.5,224x224,0.6741624598439652,5.023009172023848,7.536362850434837,6,111.88888888888889,1.0,1
rs29-0p_region4.png,rs29-0p_region4_mask.png,0.5,224x224,0.6630790828263922,5.1344165648378945,6.989338871316543,5,114.0,1.04,3
